product_id,path,old,new
aia-on-your-side-2,base.entry_age,投保年龄按计划版本、缴费期及条款规定而定。,投保年龄范围为18至45岁。
aia-on-your-side-2,compare_profile.entry_age_summary,投保年龄按计划版本、缴费期及条款规定而定。,投保年龄范围为18至45岁。
cpic-evergreen-whole-life,base.entry_age,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满15日。,投保年龄按计划版本、缴费期及条款规定而定。
cpic-evergreen-whole-life,compare_profile.entry_age_summary,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满15日。,投保年龄按计划版本、缴费期及条款规定而定。
cpic-jinshengwuyou-2024-kids,base.entry_age,投保年龄范围为0至17岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-jinshengwuyou-2024-kids,compare_profile.entry_age_summary,投保年龄范围为0至17岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-jinshengwuyou-kids,base.entry_age,投保年龄范围为0至17岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-jinshengwuyou-kids,compare_profile.entry_age_summary,投保年龄范围为0至17岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-wenyingjinsheng-ci,base.entry_age,投保年龄范围为0至53岁 / 40至79岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-wenyingjinsheng-ci,compare_profile.entry_age_summary,投保年龄范围为0至53岁 / 40至79岁；最低年龄要求包括出生满28日。,投保年龄按计划版本、缴费期及条款规定而定；最低年龄要求包括出生满28日。
cpic-xiangbanzhizun-2024s,base.entry_age,投保年龄范围为0至70岁 / 0至68岁；最低年龄要求包括出生满5天。,投保年龄范围为女性0至70岁 / 男性0至68岁；最低年龄要求包括出生满5天。
cpic-xiangbanzhizun-2024s,compare_profile.entry_age_summary,投保年龄范围为0至70岁 / 0至68岁；最低年龄要求包括出生满5天。,投保年龄范围为女性0至70岁 / 男性0至68岁；最低年龄要求包括出生满5天。
fwd-crisis-one-master,base.entry_age,投保年龄范围为1至65岁；最低年龄要求包括出生满15日。,投保年龄范围为1至65岁。
fwd-crisis-one-master,compare_profile.entry_age_summary,投保年龄范围为1至65岁；最低年龄要求包括出生满15日。,投保年龄范围为1至65岁。
fwd-crisis-u-supporter,base.entry_age,投保年龄范围为19至46岁；最低年龄要求包括出生满15日。,投保年龄范围为19至46岁。
fwd-crisis-u-supporter,compare_profile.entry_age_summary,投保年龄范围为19至46岁；最低年龄要求包括出生满15日。,投保年龄范围为19至46岁。
